year,threshold_income,median_income,n,threshold_income_smooth,median_income_smooth
1972,,19244.8,1470,,20816.5
1973,,22097.1,1393,,20501.6
1974,,21107.5,1354,791.8,20456.0
1975,,19557.2,1402,867.5,20876.9
1976,791.8,20273.2,1390,769.9,20448.0
1977,943.3,21349.7,1393,769.9,20283.1
1978,574.8,19952.4,1431,727.2,20616.6
1980,599.0,20891.1,1353,874.6,20144.5
1982,1450.1,19590.1,1677,748.4,19948.3
1983,476.5,19221.0,1450,798.2,20016.0
1984,468.1,20091.1,1339,691.5,20450.1
1985,,21161.7,1415,438.7,21292.1
1986,371.4,22186.7,1343,419.8,22310.4
1987,,23800.1,1662,371.4,22838.3
1988,,24312.3,1354,371.4,23639.2
1989,,22730.5,1376,,23493.1
1990,,25166.1,1226,,23416.3
1991,,21456.4,1361,,23186.2
1993,,23391.8,1464,737.1,22822.0
1994,737.1,23617.8,2630,851.5,24086.4
1996,965.8,25249.5,2557,666.1,24485.4
1998,295.2,24588.9,2500,897.3,25562.1
2000,1430.9,26847.9,2449,937.4,26063.6
2002,1085.9,26754.0,1222,1258.4,26448.6
2004,,25744.0,1174,933.5,26855.5
2006,781.1,28068.6,2575,981.6,26746.3
2008,1182.1,26426.3,1770,981.6,26664.5
2010,,25498.7,1803,667.8,25433.0
2012,153.5,24374.0,1757,153.5,24938.0
2014,,24941.2,2313,175.3,25513.4
2016,197.2,27225.0,2594,197.2,26476.3
2018,,27262.5,2150,197.2,27243.8
2021,,26134.7,3394,210.1,28173.8
2022,210.1,30212.9,1558,210.1,27721.3
2024,,26816.5,1472,210.1,28514.7
