year,threshold_income,mean_income,median_income,n,b0,b1
1972,11545.5,22211.4,19244.8,1470,4.7,-0.6
1973,15236.4,23841.7,22097.1,1393,4.6,-0.6
1974,14918.2,23768.2,21107.5,1354,5.2,-0.7
1975,18015.1,23184.4,19557.2,1402,6.6,-0.8
1976,14351.1,22516.0,20273.2,1390,7.0,-0.8
1977,14497.5,27214.5,21349.7,1393,8.1,-1.0
1978,16670.9,25091.6,19952.4,1431,5.4,-0.7
1980,27422.1,27139.6,20891.1,1353,4.0,-0.5
1982,19217.4,24354.3,19590.1,1677,5.8,-0.7
1983,20926.2,25625.3,19221.0,1450,7.2,-0.8
1984,17188.9,25486.4,20091.1,1339,5.5,-0.7
1985,21570.8,26252.1,21161.7,1415,4.4,-0.6
1986,18265.1,26310.4,22186.7,1343,7.0,-0.8
1987,13736.7,27677.0,23800.1,1662,5.8,-0.7
1988,15834.8,27962.4,24312.3,1354,5.2,-0.7
1989,20818.6,28295.4,22730.5,1376,6.5,-0.8
1990,27288.6,30401.1,25166.1,1226,4.8,-0.6
1991,17418.2,25911.9,21456.4,1361,4.4,-0.6
1993,24911.0,28652.9,23391.8,1464,6.2,-0.7
1994,19954.7,28561.8,23617.8,2630,5.8,-0.7
1996,23867.2,30243.9,25249.5,2557,5.8,-0.7
1998,21047.2,30837.3,24588.9,2500,6.4,-0.8
2000,16791.0,32722.9,26847.9,2449,5.9,-0.7
2002,24551.4,35344.6,26754.0,1222,6.2,-0.7
2004,19207.3,34097.9,25744.0,1174,3.6,-0.5
2006,20411.1,34768.5,28068.6,2575,5.0,-0.6
2008,34585.0,34722.4,26426.3,1770,5.7,-0.7
2010,39990.8,31168.5,25498.7,1803,3.1,-0.4
2012,26340.3,34288.0,24374.0,1757,4.4,-0.5
2014,22217.8,33888.7,24941.2,2313,4.1,-0.5
2016,21953.3,34002.6,27225.0,2594,4.8,-0.6
2018,12759.0,34674.3,27262.5,2150,3.0,-0.4
2021,20410.0,32846.7,26134.7,3394,4.4,-0.6
2022,32943.6,36300.8,30212.9,1558,5.8,-0.7
2024,45819.2,34453.6,26816.5,1472,2.8,-0.4
